STT,Category,Content
11,Ô tô - Xe máy,"Trong ảnh là chiếc Ford Ranger màu trắng đỗ trên đường, xung quanh là những đống rác khiến việc di chuyển trở nên khó khăn. Màn trả đũa khiến thùng sau của xe tải chứa đầy rác. Chủ xe chắc hẳn đã rất khó khăn để loại bỏ hết số lượng túi rác ra khỏi chiếc Ranger trước khi đi rửa xe. Rất may, tất cả các cửa sổ đều đóng kín nên bên trong chắc chắn không bị ảnh hưởng gì.
Vụ việc xảy ra tại thành phố Baguio, được mệnh danh là “thủ đô mùa hè” của Philippines. Bức ảnh về “chiếc thùng rác” Ranger ban đầu được Barangay Pinget đăng trên Facebook. Bài đăng sau đó đã được chia sẻ trên trang cá nhân chính thức của đơn vị chính quyền địa phương thành phố, kèm theo lời nhắc nhở nghiêm khắc đối với những chủ xe mắc lỗi.
Chiến thuật rác thải du kích này đóng vai trò như một lời nhắc nhở rõ ràng về khó khăn của Philippines trong vấn đề xử lý rác thải. Đồng thời, sự cố Ford Ranger cũng như một câu chuyện cảnh báo: hãy chú ý đến các quy định đỗ xe hoặc hứng chịu nguy cơ vô tình trở thành đối tượng của “cuộc nổi dậy rác thải”."
12,Ô tô - Xe máy,"Honda ADV 350 2024 cung cấp ba phối màu – Mat Gun Powder Black metallic, Pearl Smoky Grey và Mat Candy Tulip Red cùng với chế độ bảo hành hai năm hoặc 20.000 km đối với các lỗi sản xuất.
ADV 350 là sự kết hợp giữa kiểu dáng của Honda X-ADV 750 và Honda ADV 160. Chiếc xe được trang bị động cơ SOHC bốn van, làm mát bằng chất lỏng, tăng cường Smart Power+ (eSP+), dung tích 330cc. Công suất của ADV 350 được cho là 28,9 mã lực tại 7.500 vòng/phút và mô-men xoắn cực đại 31,9 Nm tại 5.250 vòng/phút. Xe được trang bị hộp số CVT và bộ truyền động dây đai truyền lực tới bánh sau.
Kích thước bánh xe của ADV 350 là 15 inch ở phía trước và 14 inch ở phía sau, lần lượt sử dụng cao su 120/70 và 140/70 phía trước và phía sau. Đi cùng là hệ thống phanh ABS hai kênh và kiểm soát lực kéo hai chế độ (có chế độ tắt), ADV 350 được trang bị phanh bằng đĩa đơn 256 mm ở phía trước và đĩa đơn 240 mm ở phía sau.
Hệ thống treo sử dụng phuộc đảo chiều đường kính 37 mm ở phía trước và giảm xóc đôi có thể điều chỉnh tải trước ở phía sau. Các tiện ích khi lái xe bao gồm cổng sạc USB, kính chắn gió có thể điều chỉnh độ cao và khởi động không cần chìa khóa, cùng với ngăn chứa đồ 48 lít dưới ghế.
Trọng lượng của ADV 350 được liệt kê ở mức 186 kg, với bình xăng 11,7 lít và chiều cao yên 795 mm. Ngoài ra, bảng điều khiển LCD với đèn LED cũng được trang bị.
"
13,Ô tô - Xe máy,"Yamaha Việt Nam chính thức ra mắt mẫu xe LEXi 155 VVA – ABS với slogan ""Both Lives Maximized - Mã cả đôi đường"". Đây là mẫu xe tay ga có khả năng vận hành mạnh mẽ nhưng vẫn êm ái, xe được thiết kế dựa trên khái niệm “Gallant LEXi” với phong cách nam tính và thanh lịch, đồng thời cũng vô cùng tiện nghi để phục vụ các nhu cầu di chuyển thực tế.
Phần đầu xe sở hữu cụm đèn LED hiện đại cùng hình dáng thể thao và hiện đại, cùng với đó đèn định vị xanh dương và đặc biệt là phần kính chắn gió ngắn. Hai bên thân xe có thiết kế thanh thoát với nhiều điểm nhấn sang trọng hơn, bánh xe có kích thước vành 14 inch, cùng với đó là yên có chiều cao 768 mm và sàn phẳng cho phép để chân và đồ đạc dễ hơn.
Bên cạnh đó, xe còn được trang bị nhiều tính năng hiện đại, điển hình là tính năng chống bó cứng phanh ABS ở bánh trước, cụm đồng hồ dạng LCD với đầy đủ các thông số như tốc độ, báo xăng, vòng tua,... và có các thông báo từ điện thoại khi kết nối qua Y-Connect.
Yamaha LEXi 155 còn sở hữu cổng sạc tích hợp phía trước để sạc điện thoại, cùng với cụm chìa khóa thông minh quen thuộc, cùng với tính nặng tự động ngắt động cơ khi dừng đèn đỏ và tái khởi động khi tăng ga.
Mẫu xe tay ga mới của Yamaha dự kiến sẽ giao hàng chính thức từ ngày 21/6/2024 và bán ra với 2 phiên bản Tiêu chuẩn có giá 47,6 triệu đồng (VAT 10%) và 48,5 triệu đồng (VAT 10%), cùng bản Cao cấp có giá 48 triệu đồng (VAT 10%) và 48,9 triệu đồng (VAT 10%)."
14,Ô tô - Xe máy,"Trong một thông cáo chính thức, nhà sản xuất ô tô Đức tiết lộ cơ sở mới sẽ có đường ray xử lý linh hoạt dài hơn 2 km nhằm mô phỏng khả năng xử lý của các mẫu xe hai và bốn cửa tới khách hàng ở khu vực Đông Nam Á.
Cơ sở này cũng sẽ cung cấp dịch vụ hậu mãi có công suất cao, được tích hợp đầy đủ, được cho là tính năng có một không hai của bất kỳ PEC nào trên thế giới. Ngoài mẫu xe thể thao quen thuộc của thương hiệu, đội xe tại PEC Singapore cũng sẽ có một số lượng đáng kể xe điện (EV) để người tham gia trải nghiệm.
Những điểm nổi bật khác của cơ sở này bao gồm các triển lãm theo chủ đề, những chiếc xe trưng bày được thay đổi định kỳ từ kho lưu trữ của Bảo tàng Porsche, các mô phỏng đua xe sống động cũng như nhiều lựa chọn ăn uống đa dạng.
“Tôi rất vui vì chúng tôi đang xây dựng cơ sở thứ 11 ở Singapore, một nơi tuyệt vời với sự đổi mới và tinh thần kinh doanh phát triển mạnh mẽ"" - Detlev von Platen, thành viên của ban điều hành phụ trách bán hàng và tiếp thị tại Porsche AG cho biết.
“Sau một loạt sự kiện thành công được tổ chức tại Singapore, Porsche rất vui mừng được đánh dấu một cột mốc quan trọng khác bằng cách xây dựng cơ sở tập trung vào lái xe lâu dài đầu tiên của đất nước. Sáng kiến ​​này không chỉ phản ánh cam kết của chúng tôi trong việc mang thương hiệu độc đáo của chúng tôi đến với khách hàng và người hâm mộ mà còn nhấn mạnh vai trò quan trọng của Singapore như một cửa ngõ vào thị trường Đông Nam Á đang phát triển mạnh mẽ"" - Hannes Ruoff, Giám đốc điều hành của Porsche Châu Á Thái Bình Dương nhận xét.
Hiện có 9 PEC đang hoạt động trên toàn thế giới, bao gồm ở Đức (Hockenheim và Leipzig), Anh (Silverstone), Pháp (Le Mans), Italia (Franciacorta), Mỹ (Atlanta và Los Angeles), Nhật Bản (Tokyo) và Trung Quốc (Thượng Hải). PEC thứ 10 tại Toronto, Canada dự kiến ​​sẽ được khai trương trong năm nay."
15,Ô tô - Xe máy,"Toyota Việt Nam vừa thông báo chương trình ưu đãi của tháng 6 đối với hai dòng sản phẩm Veloz Cross và Avanza Premio; khách hàng sẽ được lựa chọn một trong hai ưu đãi sau: Hưởng lãi suất ưu đãi 0% - cố định trong 12 tháng đầu nếu khách hàng thanh toán theo hình thức vay mua xe; hoặc tặng gói vàng bảo hiểm thân vỏ Toyota thời hạn 1 năm.
Ngoài ra, dòng sản phẩm thế mạnh của hãng là Toyota Vios cũng nhận ưu đãi lãi suất vay 0% cố định trong 6 tháng đầu từ phía công ty tài chính Toyota (TFSVN), áp dụng cho tất cả các phiên bản. Các mẫu xe còn lại trong danh mục của Toyota Việt Nam đều được ưu đãi lãi suất vay 1,99% cố định trong 6 tháng đầu.
Ưu đãi dành cho các sản phẩm của Toyota Việt Nam đều được áp dụng ở mức nhẹ nhàng để đẩy doanh số, nhưng mẫu xe chủ lực Vios có lẽ sẽ cần thêm một số khuyến mại mạnh hơn trong bối cảnh đối thủ Hyundai Accent vừa được bổ sung thế hệ mới dành cho thị trường trong nước.
Mới đây, Toyota Việt Nam cũng công bố doanh số ô tô trong tháng 5 đạt mức 5.496 chiếc (bao gồm xe Lexus), tăng trưởng 19% so với tháng trước đó. Trong đó, xe lắp ráp bán ra đạt mức 1.740 chiếc trong khi có tới 3.616 chiếc xe nhập khẩu. Xe Hybrid cũng tiếp tục tăng trưởng và đạt mức 593 chiếc.
"
16,Ô tô - Xe máy,"Từ ngày 01/06/2024 đến hết ngày 31/03/2025, VinFast mang đến cho khách hàng đang sử dụng dòng xe VinFast VF 9 đặc quyền ưu đãi chuyển đổi sang xe mới với chi phí đầy hấp dẫn, thời hạn đăng ký tới hết ngày 31/08/2024.
Cụ thể, khách hàng đã sử dụng xe VinFast VF 9 được 18 tháng có thể đổi sang một chiếc VF 9 mới 100% mà chỉ cần trả thêm 15% giá xe mới. Trường hợp xe đã qua sử dụng 24 tháng, chi phí cần trả thêm là 20% giá xe mới.
Như vậy, chính sách mới giúp những khách hàng đang sở hữu xe VF 9 dễ dàng mang về nhà một chiếc xe mới hoàn toàn với mức phí hợp lý. Nếu muốn lên đời xe hay chuyển đổi từ thuê pin sang mua pin, khách hàng chỉ cần trả thêm phần chênh lệch tương ứng.
Đây được xem là điểm nhấn đặc biệt không chỉ của riêng VinFast mà còn là cả thị trường ô tô Việt Nam, bởi hiếm có hãng xe nào đưa ra chính sách hỗ trợ khách hàng đặc biệt như vậy.
“Trực tiếp đổi xe tại các đại lý của VinFast, thay vì phải bán xe cũ và mua xe mới thì sẽ đỡ phức tạp và mất thời gian. Chi phí cũng phải chăng mà được trải nghiệm những công nghệ và tiện nghi mới nhất”, anh Minh Tuấn, chủ xe VF 9 ở Hà Nội, nhận xét về chương trình mới công bố của VinFast.
Anh Tuấn cho biết, anh đã chọn lấy VF 9 bản Eco phù hợp với kinh tế gia đình vào thời điểm mua xe năm ngoái. Tuy nhiên anh cũng muốn trải nghiệm thử hàng ghế cơ trưởng trên bản Plus. Chính sách của VinFast cho những chủ xe như anh Tuấn cơ hội sở hữu phiên bản cao cấp hơn với giá tốt, lại bớt được băn khoăn phải tìm khách mua lại.
“Chính sách này đúng là mang lại sự tiện lợi tối đa cho khách hàng”, anh Tuấn khẳng định.
Bên cạnh ưu đãi trên, chủ nhân của những chiếc VinFast VF 9 còn nhận được những đặc quyền chưa từng có.
Nổi bật trong loạt quyền lợi mới được công bố là chính sách miễn phí sạc pin trong vòng 2 năm dành cho khách hàng VF 9, áp dụng đến hết ngày 31/05/2026 tại tất cả trạm sạc chính hãng trên toàn quốc.
Hãng xe Việt còn triển khai dịch vụ sửa chữa, bảo dưỡng dành riêng cho VF 9 với cam kết tiếp nhận và ưu tiên phục vụ ngay để rút ngắn thời gian chờ đợi, hoặc sắp xếp lịch phù hợp với thời gian và nhu cầu của các chủ xe. Toàn bộ quá trình tiếp đón, tư vấn, phục vụ, sửa chữa xe, kiểm tra chất lượng xe của khách hàng VF 9 sẽ được thực hiện bởi các chuyên viên chăm sóc khách hàng chuyên trách túc trực 24/7, cố vấn dịch vụ, kỹ thuật viên, quản đốc có kinh nghiệm và trình độ cao của VinFast.
Đặc biệt, nếu khách hàng yêu cầu, VinFast sẽ hỗ trợ giao nhận xe miễn phí trong giờ hành chính tại địa điểm được khách hàng chỉ định, trong phạm vi bán kính tối đa 30 km tính từ xưởng dịch vụ gần nhất.
Trong trường hợp muốn bán lại xe, từ ngày 01/06/2024 đến hết ngày 31/12/2027, khách hàng mua xe VF 9 sẽ được hãng cam kết mua lại với giá tương đương 78% giá ban đầu sau 24 tháng sử dụng, và 70% giá ban đầu sau 36 tháng sử dụng. Đặc quyền này giúp chủ xe VF 9 hoàn toàn yên tâm khi có nhu cầu đổi sang sản phẩm mới.
“Dù là khách hàng mới hay khách hàng hiện hữu thì đều nhận được những lợi ích quá tốt, từ thời điểm mua xe, nhận xe, sử dụng xe cho đến khi bán lại vẫn giữ giá. Sản phẩm đã tốt, riêng về hậu mãi thì VinFast luôn khiến khách hàng bất ngờ”, anh Hữu Khang, một doanh nhân ở TP.HCM và là một trong những khách hàng tiên phong nhận VF 9, rất hào hứng với chính sách chăm sóc đặc biệt của hãng xe Việt.
VinFast VF 9 thuộc phân khúc E-SUV, là sản phẩm cao cấp nhất trong dải xe điện của VinFast. Sự kết hợp hoàn hảo giữa công nghệ tiên tiến, dịch vụ chăm sóc đặc biệt và chính sách ưu đãi chưa từng có tiền lệ trên thị trường khiến VF 9 được đánh giá là lựa chọn lý tưởng cho giới thượng lưu, doanh nhân, tái định nghĩa trải nghiệm về xe sang tại Việt Nam.
Ngoài chính sách chăm sóc đặc biệt, khách hàng VF 9 còn dễ dàng sở hữu xe nhờ ưu đãi giảm 4% vào giá bán xe khi trả thẳng, nằm trong khuôn khổ chiến dịch “Mãnh liệt Tinh thần Việt Nam” của VinFast. Khách hàng cũng có thể lựa chọn hình thức trả góp lên tới 80% giá trị xe trong vòng 8 năm với mức lãi suất hấp dẫn nhất thị trường.
Để biết thêm thông tin chi tiết về chương trình và sản phẩm xe điện VinFast, khách hàng truy cập website vinfastauto.com hoặc liên hệ hệ thống showroom, nhà phân phối của VinFast trên toàn quốc."
17,Ô tô - Xe máy,"Mitsubishi Motors Việt Nam (MMV) vừa thông báo ưu đãi trong tháng 6/2024 đối với tất cả các sản phẩm hãng đang bán tại thị trường Việt Nam, đây là giai đoạn ảm đảm khi nhiều khách hàng đang chờ hỗ trợ lệ phí trước bạ từ chính phủ nhưng MMV hầu hết gồm các xe nhập khẩu nên dường như không có nhiều ảnh hưởng.
Trong đó, khách hàng mua xe Xforce sẽ được tặng 1 năm bảo hiểm vật chất và 1 mô hình xe, phiên bản GLX sẽ nhận thêm 1 năm bảo dưỡng miễn phí (hoặc 20.000 km, tùy theo điều kiện nào đến trước) trong khi phiên bản Exceed có thêm 1 chìa khóa đề nổ từ xa chính hãng.
Các mẫu xe Xpander hoặc Outlander sẽ được hỗ trợ tương đương 50% phí trước bạ đi cùng các quà tặng camera toàn cảnh 360 hoặc camera lùi tùy phiên bản. Bên cạnh đó, Pajero Sport nhận mức hỗ trợ lên đến 100% lệ phí trước bạ, 2 năm bảo hiểm hiểm vật chất và gói bảo dưỡng miễn phí lên đến 3 năm (hoặc 60.000 km) khi mua xe.
Hai mẫu xe Attrage và Triton cũng được ưu đãi lên đến 100% phí trước bạ cùng một số quà tặng có giá trị khác như: Ăng ten vây cá, bảo hiểm vật chất, camera lùi...
Ngoài ra, MMV cũng tiếp tục chương trình hỗ trợ tài chính MMV Auto Finance (MAF) cho khách hàng mua xe với gói lãi suất ưu đãi đặc biệt dành cho các khách hàng mua xe trong tháng 6/2024."
18,Ô tô - Xe máy,"Vào ngày 3/6 vừa qua, Bộ Đất đai, Hạ tầng, Giao thông và Du lịch Nhật Bản (MLIT) đã thông báo về một số bất thường trong các hồ sơ xin cấp chứng nhận ô tô từ một số nhà sản xuất như Toyota, Honda, Mazda, Suzuki và Yamaha. Đồng thời, cơ quan này cũng yêu cầu các hãng phải tạm dừng vận chuyển sản phẩm đến các nhà phân phối đối với những mẫu xe bị ảnh hưởng.
Trước đó, MLIT cũng đã hướng dẫn 85 nhà sản xuất ô tô và nhà cung cấp linh kiện, phụ tùng phải kiểm tra lại quy trình thử nghiệm an toàn và xem xét lại những hồ sơ kiểm định sản phẩm trước đây. Theo đó, các hãng đã thành lập một nhóm thanh tra độc lập và tiến hành rà soát hồ sơ kiểm định kiểu loại của tất cả các mẫu xe trong vòng 10 năm qua ở Nhật, sau đó, sẽ có 1 bên thứ 3 kiểm chứng kết quả. Theo kế hoạch, cuối tháng 6 các hãng phải báo cáo MLIT về kết quả.
Kết quả sơ bộ cho thấy, Mazda có bất thường trong 5 thử nghiệm nằm trong số 2 loại thử nghiệm an toàn của hãng này. Một số mẫu xe có liên quan là Mazda2, Mazda6/Atenza, Axela và đều là xe bán tại Nhật. Sự việc có ảnh hưởng tới 150.878 chiếc đã được sản xuất và 149.313 chiếc được bán ra. Các bất thường của Mazda liên quan đến thử nghiệm va chạm để xác định mức độ bảo vệ người trên xe trong trường hợp có va chạm phía trước. Theo đó, một thiết bị bên ngoài được sử dụng để kích hoạt thời gian túi khí bung thay vì để túi khí tự bung thông qua cảm biến trên xe. Và một bất thường liên quan đến sử dụng phần mềm khác để điều khiển động cơ để xác định công suất – nghĩa là, công suất của xe thử nghiệm có thể khác với xe thực tế.
Trong khi đó Honda phát hiện những sai phạm trong các cuộc kiểm tra tiếng ồn và công suất suốt 8 năm, trên 22 mẫu xe, trong đó có Fit, CR-Z, Accord… Cụ thể trong thử nghiệm tiếng ồn và hiệu suất động cơ có những sai lệch đến từ điều kiện thử nghiệm và tập hợp dữ liệu trong kết quả, dẫn đến có sự sai khác so với các tiêu chuẩn được quy định trong luật.
Dù vậy, trong thông cáo được Honda và Mazda đưa ra, các hãng cũng khẳng định rằng các xe an toàn và đã đạt tiêu chuẩn chất lượng của doanh nghiệp; các mẫu xe hiện tại không bị ảnh hưởng.
Với Suzuki, hãng cho biết có hành vi không trung thực liên quan tới một mẫu xe mang tên Alto đã được sản xuất từ năm 2014 – 2017. Yamaha cũng có sự cố với một mẫu xe mô tô là YZF-R1, có sai phạm liên quan đến thử nghiệm tiếng ồn trong điều kiện không phù hợp.
Đối với Toyota, hãng đang xác định được 7 mẫu xe, trong đó có 3 mẫu đang bán trên thị trường và 4 mẫu đã ngừng sản xuất, đã được thử nghiệm với các phương pháp khác so với tiêu chuẩn của chính phủ Nhật Bản và báo cáo vấn đề này với MLIT vào ngày 31/5 vừa qua, trước khi cơ quan chức năng đưa ra thông báo.
Tổng cộng các mẫu xe Toyota trong diện ảnh hưởng đã liên quan đến 6 trường hợp thử nghiệm không đúng theo tiêu chuẩn đề ra của cơ quan chức năng. Trong đó, 3 mẫu xe đang bán ra trên thị trường liên quan đến thử nghiệm tính năng bảo vệ người đi bộ với góc va chạm không khớp với quy định (Corolla Fielder, Axio) và thử nghiệm tác động di chuyển của hành lý với khối lượng hành lý không khớp với quy định mới (Yaris Cross).
Trong những tên được nhắc đến, có Yaris Cross quen thuộc với khách hàng Việt. Dù vậy, đây chỉ là sự trùng tên bởi 2 mẫu xe Yaris Cross được phát triển trên 2 nền tảng hoàn toàn khác nhau.
Để khách hàng hiểu hơn về sự việc, Toyota Việt Nam cũng nhanh chóng cập nhật toàn bộ thông tin liên quan trên website và fanpage chính thức của hãng. Hãng khẳng định, mẫu Yaris Cross được đề cập trên đây hoàn toàn khác kiểu loại với xe Yaris Cross đang được Toyota Việt Nam phân phối. Mẫu Yaris Cross dù giống tên nhưng không phải phiên bản được bán ở Việt Nam, không liên quan đến thị trường Việt Nam.
Cùng là crossover nhưng Yaris Cross phiên bản cho Nhật Bản đã bán ra từ lâu với các chi tiết như khung gầm, động cơ, thiết kế… không hề giống với phiên bản bán ra tại Việt Nam vốn mới chỉ ra mắt cách đây khoảng 1 năm và sản xuất tại Indonesia.

Bên cạnh đó, Toyota toàn cầu cũng khẳng định, không có vấn đề nào về hiệu suất trái với luật pháp và quy định đối với các mẫu xe bị ảnh hưởng, do đó, khách hàng không cần ngưng sử dụng xe. Toyota đã ngay lập tức đưa ra lời xin lỗi và quyết định tạm dừng việc giao và bán 3 mẫu xe là Corolla Fielder/Axio và Yaris Cross từ ngày 3/6. Hãng xe Nhật cho biết sẽ cho thử nghiệm lại bằng các biện pháp phù hợp dưới sự chứng kiến của bên thứ 3 và sẽ cung cấp lại thông tin chi tiết cho các cơ quan quản lý của Nhật khi có kết quả.
Mặc dù 2024, Toyota phải đối mặt với nhiều sự việc nhưng Toyota luôn bình tĩnh đối mặt với thái độ cầu thị, trung thực và nhất quán. Hãng vẫn chọn cách đi chậm và chắc, cải tổ lại hệ thống, kiểm tra và cải thiện quy trình vận hành và kiểm soát chất lượng để đưa ra thị trường những sản phẩm hoàn thiện."
19,Ô tô - Xe máy,"Nhà sản xuất ô tô Lexus hiện đang phát triển một phiên bản mới của mẫu sedan ES, dự kiến ​​sẽ có ngoại thất cải tiến cũng như được bổ sung các tùy chọn hệ truyền động EV (chạy điện). Lấy cảm hứng từ một đoạn giới thiệu chính thức được phát hành vài năm trước, nghệ sĩ kỹ thuật số tự do Nikita Chuicko đã tạo ra các bản vẽ dự kiến của Lexus ES sắp ra mắt, cho phép những người đam mê ô tô có thể hình dung diện mạo của mẫu xe mới một cách dễ dàng hơn.
Mặc dù không có những bức ảnh chụp lép của Lexus ES sắp ra mắt nhưng dựa trên một đoạn giới thiệu được chính Lexus công bố vào tháng 12/2021 để nhá hàng một chiếc sedan có kích thước tương tự, Nikita Chuicko đã mang lại một bản xem trước về mẫu xe trông khá thuyết phục, đặc biệt là đối với thiết kế bảng đồng hồ phía trước.
Mẫu sedan cỡ trung gần cao cấp này có mặt trước đẹp hơn so với ES hiện tại do không có lưới tản nhiệt hình con suốt. Thay vào đó, lưới tản nhiệt ngang mỏng hơn nối liền với đèn pha mới, có hình dáng đơn giản hóa và đồ họa LED cải tiến. Cản trước có đường viền hơn, nổi bật với các cửa hút hình tam giác được tạo điểm nhấn bằng các viền mạ crôm mỏng. Cuối cùng, đoạn teaser chỉ ra rằng Lexus ES trong tương lai sẽ giữ nguyên kiểu dáng bên hông và kết cấu kính của mẫu xe hiện tại, cho thấy đây là một phiên bản nâng cấp đáng kể thay vì thiết kế lại hoàn toàn.
Các mẫu xe sản xuất và mẫu xe ý tưởng gần đây của Lexus đã cho thấy sự phát triển dần dần của thương hiệu theo hướng ngôn ngữ thiết kế rõ ràng hơn. Theo đó, kiểu dáng của Lexus ES thế hệ tiếp theo dự kiến ​​sẽ áp dụng một cách tiếp cận hấp dẫn hơn nhằm phục vụ những người mua sedan truyền thống yêu thích sự sang trọng tinh tế.
Giống như mẫu xe liên quan chặt chẽ của nó, Toyota Camry, được thiết kế lại cho năm 2025, Lexus ES mới có thể sẽ giữ lại nền tảng TNGA-K hiện có. Tuy nhiên, rất có thể mẫu xe sẽ được cải tổ đáng kể hệ thống truyền động. Các biến thể ES350e và ES500e dự kiến ​​​​sẽ có hệ thống truyền động hoàn toàn bằng điện. Ngoài ra, ES350h có thể nhận được thiết lập hybrid tự sạc mới với khả năng AWD.
Lexus vẫn chưa công bố ngày ra mắt cụ thể cho dòng ES mới. Trước đó, Lexus ES thế hệ thứ sáu ra mắt vào năm 2018 và được nâng cấp vào năm 2021, vì vậy nhiều khả năng hãng sẽ trình làng phiên bản tiếp theo vào đầu năm 2025."
20,Ô tô - Xe máy,"Đây là một sự kiện đáng nhớ và ý nghĩa, nhận được sự quan tâm và tham gia nhiệt tình của hàng nghìn khách hàng. Sau ba chương trình, có khoảng 350 chiếc xe Hyundai được chăm sóc miễn phí và gần 1.000 lượt khách hàng trải nghiệm các dòng xe mới nhất của Hyundai như IONIQ 5, Custin, Palisade hay 2 mẫu xe vừa ra mắt là Stargazer X và Accent hoàn toàn mới. Hàng nghìn khách hàng đã đến tham quan và trải nghiệm các tiện ích chương trình như tham quan các gian hàng linh kiện, phụ kiện chính hãng và tham gia các minigame hấp dẫn với nhiều phần quà giá trị.
Một điểm nhấn quan trọng của chương trình lần này là chuỗi talkshow chia sẻ kiến thức y tế về sơ cấp cứu trong các tình huống tai nạn giao thông và những tình huống khẩn cấp của đời sống hàng ngày. Đây là chương trình hữu ích cho khách hàng, lần đầu tiên được tổ chức thành chuỗi tại nhiều tỉnh thành trên cả nước, nhằm nâng cao nhận thức và kỹ năng sơ cấp cứu cho cộng đồng.
Ngoài ra, chương trình còn mang đến sự hỗ trợ cho 23 trường hợp các bạn nhỏ có hoàn cảnh khó khăn bị ảnh hưởng bởi tai nạn giao thông. Đây là một hành động thiết thực và đầy nhân văn, thể hiện tinh thần trách nhiệm của Hyundai Thành Công đối với cộng đồng và xã hội.
Anh Sầm Minh Và, chủ sở hữu 1 chiếc Hyundai Accent và cũng là một khách hàng tham dự chương trình Hyundai Care Day 2024 tại Bình Dương chia sẻ: ""Tôi rất vui khi được mời tham dự chương trình Hyundai Care Day lần này. Đây là hoạt động có ý nghĩa rất thiết thực và lần đầu tiên tôi được tham dự chương trình có nhiều nội dung hữu ích như vậy. Đặc biệt là hôm nay tôi lại rất may mắn khi trúng thưởng chiếc máy lọc không khí này từ chương trình. Rất cảm ơn Hyundai Thành Công đã tổ chức hoạt động này và mong rằng công ty sẽ tổ chức nhiều sự kiện như thế này cho khách hàng.""
Chuỗi chương trình Hyundai Care Day 2024 sẽ tiếp tục diễn ra tại thành phố Buôn Ma Thuột, Đà Nẵng và Hạ Long trong tháng 7 và tháng 8.
Ông Trần Huy Hoàng – Giám đốc Truyền thông & Thương hiệu Hyundai Thành Công chia sẻ thêm: “Chúng tôi mong sẽ tiếp tục nhận được sự ủng hộ nhiệt tình từ quý khách hàng và mang đến nhiều giá trị thiết thực hơn nữa cho khách hàng và thị trường. Hyundai Care Day 2024 không chỉ là dịp để tri ân khách hàng mà còn là cơ hội để chia sẻ và kết nối, tạo nên những giá trị bền vững và ý nghĩa cho cộng đồng và xã hội"".
Khách hàng quan tâm đến chương trình có thể đăng kí tại website: https://hcd.hyundai.thanhcong.vn/"
21,Ô tô - Xe máy,"Gần đây, một phân tích của đài ABC News (Australia) so sánh mức phát thải xuyên suốt vòng đời sản phẩm của ô tô (từ giai đoạn sản xuất cho tới khi được tái chế) của các mẫu SUV tầm trung tại Australia. Kết quả cho thấy, xe điện có mức phát thải nhất định do việc sản xuất pin nhưng về tổng thể vẫn “xanh” hơn nhiều lần so với xe xăng cùng phân khúc.
Cụ thể, trong quá trình sử dụng, với quãng đường di chuyển khoảng 189.000 km trên 15 năm lưu thông trên đường (theo số liệu từ Sở Thống kê Australia – ABS), xe xăng phát thải 45,9 tấn CO2. Mức này ở xe điện chỉ là 10,5 tấn - chủ yếu đến từ quá trình sản xuất nguồn điện tiếp năng lượng cho xe - bằng khoảng 1/4 xe xăng.
Ở giai đoạn tái chế xe, ABC News dẫn nhận định cho thấy, trong khi quá trình thải bỏ - tái chế, xe xăng chỉ giúp bù đắp 1,6 tấn khí CO2 thì một chiếc xe điện bù đắp tới 2,5 tấn khí CO2, đồng nghĩa xe điện “sạch” hơn xe xăng. Với ô tô điện, hầu hết nguyên vật liệu chế tạo đều có thể được tái chế. Riêng hệ thống pin xe điện cũ có thể được tái sử dụng làm pin dự phòng trong gia đình hoặc cung cấp năng lượng cho nhà máy.
Như vậy, tính trên tổng thể vòng đời một chiếc xe (bao gồm cả sản xuất, sử dụng và tái chế), mức phát thải của một chiếc xe xăng sẽ gấp nhiều lần xe điện.
Đồng quan điểm, một bài viết trên website của đài NPR (Mỹ) vào đầu tháng 5 chỉ ra lợi thế rõ ràng của xe điện. “Chế tạo pin là hành động chỉ tác động  một lần, trong khi đó, tiêu thụ xăng để chạy xe sẽ liên tục gây tác động tới môi trường”, cây bút về xe hơi Camila Domonoske nhận định trên NPR.
Theo báo cáo hồi tháng 3/2024 của Bloomberg New Energy Finance (BNEF), lợi thế xanh của xe điện sẽ ngày càng rõ nét khi quá trình sản xuất điện trở nên sạch hơn theo thời gain.
ABC News cho rằng, lượng phát thải từ sản xuất pin và việc sử dụng xe điện sẽ giảm dần theo sự tiến bộ của công nghệ và đà tăng của tỷ trọng năng lượng tái tạo trong lưới điện các nước. Hiện tại, ở Australia, tỷ trọng điện từ nguồn năng lượng tái tạo là 32%.
Ngoài ra, theo NPR, xu thế chuyển hướng sang khai thác khoáng sản ở những khu vực có quy định khai thác nghiêm ngặt hơn, như Mỹ thay vì Trung Quốc, cũng có thể làm giảm tác động của quá trình sản xuất pin.
Các hãng xe cũng sẽ có nhiều lựa chọn pin ít tác động tới môi trường hơn như pin LFP. Hơn nữa, pin xe điện cũ có thể được tái sử dụng.
Như vậy, ô tô điện nhìn chung tạo ra ít khí thải hơn ô tô chạy xăng. Ngay cả với lưới điện lấy năng lượng một phần từ nhiên liệu hóa thạch như ở Australia, xe điện vẫn có lượng khí thải CO2 nhỏ hơn nhiều, theo phân tích của ABC News."
